Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Concept for the Development of Small Hydropower in the Republic of Kyrgyzstan until 2017 (Government Decree No. 507 of 2015),2015,KYRGYZSTAN,"The Concept is developed by the Ministry of Energy and Industry based on the key elements and underlying principles of the Program of the Republic of Kyrgyzstan on Transition towards Sustainable Development for 2013-2017, in accordance with the National Strategy for Sustainable Development for 2013-2017. The policy sets forth a long-term vision for the development of national hydropower sector simultaneously addressing existing environmental challenges and seeking to ensure balance between stability and efficiency of the national power sector.",https://policy.asiapacificenergy.org/node/1105,National,"Overarching Policy, Plan/Strategy","Energy, Power","Power, Renewable, Hydropower",APEP
Resolution of the National Assembly No. 41/2009/QH12 of 2009 Approving the Investment in Ninh Thuan Nuclear Power Project,2009,VIET NAM,"A Resolution to approve investment in Ninh Thuan Nuclear Power Project, including two plants each having two engine groups, to supply electricity for the national power grid, contributing to the socio-economic development of the country and Ninh Thuan province.",https://policy.asiapacificenergy.org/node/1104,National,"Programme, Other",Power,"Power, Nuclear",APEP
Decision of the Prime Minister No. 957/QD-TTg of 2010 Approving the Master Plan on Peaceful Development and Utilization of Atomic Energy Through 2020,2010,VIET NAM,A Decision to approve the Master Plan on Peaceful Development and Utilization of Atomic Energy Through 2020 (below referred to as the Master Plan).,https://policy.asiapacificenergy.org/node/1103,National,"Plan/Strategy, Other","Energy, Power","Power, Nuclear",APEP
"Circular of the Ministry of Industry No. 08/2006/TT-BCN of 2006 on Guiding the Order of, Procedures for Energy-Saving Labelling for Energy Consumption Products",2006,VIET NAM,"Circular directing for the implementation of procedures for registering, assessing, certificate-issuing energy-saving labelling for energy consumption products.",https://policy.asiapacificenergy.org/node/1102,National,Other,Power,"Power, Other",APEP
"Decision No. 1855/QD-TTg of 2007 Approving Vietnam's National Energy Development Strategy up to 2020, with 2050 Vision",2007,VIET NAM,"This Decision was made in 2007 and approves Vietnam's national energy development Strategy up to 2020, with 2050 vision.",https://policy.asiapacificenergy.org/node/1101,National,"Plan/Strategy, Other","Energy, Power, Multi-Sector","Oil, Power, Renewable, Bioenergy, Hydropower",APEP
Decree of the Government No. 102/2003/ND-CP of 2003 on Thrifty and Efficient Use of Energy,2003,VIET NAM,"This Decree was issued in 2003 and prescribes the thrifty and efficient use of energy in industrial production, in buildings, for energy-consuming equipment and means and in daily-life of people.",https://policy.asiapacificenergy.org/node/1100,National,Decree,"Energy, Power","All, Power, Other",APEP
Law No. 18/2008/QH12 of 2008 on Atomic Energy,2009,VIET NAM,This Law was issued in 2008 and it provides for activities in the domain of atomic energy and the assurance of safety and security in these activities.,https://policy.asiapacificenergy.org/node/1099,National,Law,"Energy, Power","Power, Nuclear",APEP
Decree of the Government No. 07/2010/ND-CP of 2010 Detailing and Guiding a Number of Articles of the Law on Atomic Energy,2010,VIET NAM,"The Decree No. 07/2010/ND-CP of January 25, 2010 details and guides the implementation of Articles 65, 80, 82 and 90 of the Law of Atomic Energy and guides a number of relevant provisions to meet requirements of management of atomic energy development and use and safety assurance.",https://policy.asiapacificenergy.org/node/1098,National,"Decree, Law",Energy,Nuclear,APEP
Philippine Development Plan 2011-2016 (Chapter 5 - Accelerating Infrastructure Development),2011,PHILIPPINES,"The Philippine Development Plan 2011-2016 was formulated to “implement a continuing integrated and coordinated programs and policies for national development.” The National Economic and Development Authority (NEDA) coordinated the formulation of the Plan and extensive consultations were conducted throughout the country with the participation of various government agencies, the regional development councils, local government units, the business sector, nongovernment organizations, academe, and groups of well-known experts in economic and social development. The Philippine Development Plan addresses poverty and aims to create massive employment opportunities and achieve its vision of inclusive growth. It is based on five key strategies. First is to boost competitiveness in the productive sectors to generate massive employment. Second is to improve access to financing to address the evolving needs of a diverse public. Third is to invest massively in infrastructure. Fourth is to promote transparent and responsive governance, which is emphasized in all the chapters. And fifth, is to develop human resources through improved social services and protection. ---NOTE: LGUs Local Government Units; ERC Energy Regulatory Commission.",https://policy.asiapacificenergy.org/node/1096,National,Plan/Strategy,"Energy, Power, Transport, Building, Multi-Sector, Other","All, Power, Gas, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wind, Other",APEP
Department Circular No. 2015-06-004 of 2015 Implementing the Corresponding Philippine National Standard Specifications (PNS) for the Euro 4/IV-ph Fuels Complying with the Euro 4/IV Emissions Standard,2015,PHILIPPINES,Implementing the corresponding Philippine National Standards Specificaitons (PNS) for the EURO 4IV/PH fuels complying with the EURO 4/IV Emissions Standard.,https://policy.asiapacificenergy.org/node/1094,National,Other,Transport,"Oil, Other",APEP
Department Circular No. 2014-09-0018 of 2014 Prescribing the Policies for the Implementation of the Household Electrification Program,2014,PHILIPPINES,A Department Circular prescribing the policies for the implementation of the Household Electrification Program and creating the Household Unified Strategic Electrification (House) Team for the purpose of achieving the country's total electrification goals. The Circular addresses: 1. Policies and Strategies; 2. Households Electrification Options and Plans; 3. The Households Unified Strategic Electrification Team; 4. The House Electrification Information System. ---Note: DUs: Distribution Utilities.,https://policy.asiapacificenergy.org/node/1093,National,"Overarching Policy, Other",Power,"Power, Renewable",APEP
Department Circular No. 2014-08-0014 of 2014 Enjoining All Electricity-Consuming Sectors to Implement Demand-Side Management Program and other Energy Conservation Measures,2014,PHILIPPINES,A Department Circular enjoining all electricity- consuming sectors to implement demand-side management program and other energy conservation measures.,https://policy.asiapacificenergy.org/node/1092,National,Other,"Power, Industry, Building, Multi-Sector",Power,APEP
Department Circular No. 2014-07-0012 of 2014 Accelerating Household Electrification in Off-Grid and Isolated Areas Through Electricity Supply By Regulated Solar Home Systems,2014,PHILIPPINES,"A Department Circular accelerating household electrification in off-grid and isolated areas through electricity supply by regulated Solar Home Systems(SHS). The policy covers themes such as: fees for electricity supply, subsidies, universal charges, alternative service providers NOTE: HEDP Household Electrification Development Plan; DU Distribution Utility.",https://policy.asiapacificenergy.org/node/1091,National,Other,Power,"Power, Renewable, Solar",APEP
Department Circular No. 2014-01-0001 of 2014 Providing for the Rules and Regulations Governing the Liquefied Petroleum Gas ('LPG') Industry,2014,PHILIPPINES,A Department Circular providing for the Rules and Regulations governing the Liquified Petroleum Gas (LPG) Industry.,https://policy.asiapacificenergy.org/node/1090,National,"Rule/Regulation, Other",Energy,"Oil, Gas",APEP
"Department Circular No. 2013-07-0015 of 2013 Prescribing the Implementing Rules and Regulations of the ""National Electrification Administration Reform Act of 2013""",2013,PHILIPPINES,"A Department Circular prescribing Implementing Rules and Regulations of the ""National Electrification Administration Reform Act of 2013"".",https://policy.asiapacificenergy.org/node/1088,National,"Rule/Regulation, Other",Power,Power,APEP
National Electrification Administration Decree (Presidential Decree No. 269 of 1973),1973,PHILIPPINES,"A Decree creating the “National Electrification Administration” (NEA) as a corporation, prescribing its powers and activities and appropriating the necessary funds therefor. It is also hereby declared a national policy objective the organization, promotion and development of electric cooperatives for the total electrification of the Philippines on an area coverage service basis.",https://policy.asiapacificenergy.org/node/1087,National,Decree,Power,Power,APEP
National Electrification Administration Reform Act of 2013 (Act No. 10531 of 2013),2013,PHILIPPINES,"An Act strengthening the National Electrification Administration, further amending for the purpose Presidential Decree no. 269, as amended, otherwise known as the “National Electrification Administration Decree”.",https://policy.asiapacificenergy.org/node/1086,National,Act,Power,Power,APEP
Department Circular No. 2013-01-0001 Directing the Philippine Electricity Market Corporation to Develop and Implement an Interim Mindanao Electricity Market (IMEM) As a Measure to Immediately Address the Power Supply Situation in Mindanao,2013,PHILIPPINES,A Department Circular directing the Philippine Electricity Market Corporation to develop and implement an Interim Mindanao Electricity Market (IMEM) as a measure to immediately address the power supply situation in Mindanao.,https://policy.asiapacificenergy.org/node/1085,Subnational,Other,Power,Power,APEP
